source_coords,dest1_coords,dest2_coords,source_D1_distance(in miles),source_D1_time(in minutes),source_D2_distance(in miles),source_D2_time(in minutes),total_shared_distance,total_shared_time,Matched_NoMatched
"(-73.785924, 40.645134)","(-73.83773041, 40.6896553)", ,7.21000,10.940, , ,,,"(-73.83773041, 40.6896553):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.83950806, 40.72218704)","(-73.82505798, 40.68148041)",7.77000,11.630,4.68000,8.710,10.49500,12.930,Matched
"(-73.785924, 40.645134)","(-73.83958435, 40.68797684)", ,6.53000,10.950, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.78339386, 40.64374542)']"
"(-73.785924, 40.645134)","(-73.84267426, 40.6992836)", ,7.35000,11.210, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.78307343, 40.64385986)']"
"(-73.785924, 40.645134)","(-73.84371185, 40.75619888)","(-73.82472229, 40.7229538)",10.81000,14.680,8.03000,11.600,15.37000,15.180,Matched
"(-73.785924, 40.645134)","(-73.84436035, 40.77154922)","(-73.82274628, 40.68207932)",11.40000,17.110,4.58000,8.260,13.13500,15.530,Matched
"(-73.785924, 40.645134)","(-73.84455109, 40.74058151)", ,9.41000,12.230, , ,,,"(-73.84455109, 40.74058151):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.8445816, 40.69091034)", ,7.20000,10.920, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.79933167, 40.6672554)', '(-73.77322388, 40.71449661)']"
"(-73.785924, 40.645134)","(-73.84509277, 40.85131073)", ,17.31000,24.610, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.75974274, 40.67005539)']"
"(-73.785924, 40.645134)","(-73.84516907, 40.72424316)", ,8.07000,11.630, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.79031372, 40.64677048)', '(-73.7939682, 40.66730118)']"
"(-73.785924, 40.645134)","(-73.84520721, 40.74028015)", ,8.93000,12.140, , ,,,"(-73.84520721, 40.74028015):Passenger constraint not satisfied for trip"
"(-73.785924, 40.645134)","(-73.84539032, 40.65422821)", ,6.30000,10.280, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.75974274, 40.67005539)']"
"(-73.785924, 40.645134)","(-73.8490448, 40.73752594)", ,10.00000,15.470, , ,,,"(-73.8490448, 40.73752594):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.84954071, 40.72886658)", ,8.58000,13.230, , ,,,"(-73.84954071, 40.72886658):Delay constraint failed"
